desc	ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
none	10766	36	2	18	18	20	16	18	12	14	42	15	20	62	92
none	10766	36	2	18	18	20	16	18	12	14	42	15	20	62	92
none	10767	1	2	1	1	1	1	1	1	1	1	0	1	0	1
none	10768	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10782	1	1	1	1	1	1	1	1	1	1	1	1	2	1
none	10784	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10789	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10790	1	1	1	1	1	2	1	1	1	1	1	1	1	0
none	10798	1	1	1	2	1	1	1	1	1	1	1	2	2	1
none	108	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	1080	1	1	2	1	1	2	1	2	2	1	1	1	1	1
none	10806	1	1	1	1	1	0	1	1	1	1	1	2	1	2
none	10808	1	0	1	1	1	1	1	1	1	1	1	1	1	2
none	10809	1	0	1	1	1	1	1	1	1	1	1	1	1	1
none	1081	4	1	1	1	1	1	1	1	1	1	1	1	2	1
none	1081	4	1	1	1	1	1	1	1	1	1	1	1	2	1
none	10810	1	1	1	0	1	2	1	1	1	0	0	0	1	1
none	10811	2	0	2	2	2	2	2	2	2	5	0	2	3	7
none	10820	0	0	0	1	1	1	1	0	0	1	1	1	2	1
none	10821	2	2	2	2	1	1	1	1	1	1	1	1	1	1
none	10823	1	2	1	1	1	1	1	1	1	1	1	1	1	1
none	10824	2	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10826	1	1	1	1	1	1	1	1	1	1	1	0	1	1
none	10827	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	10829	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	1083	1	1	1	1	1	1	1	1	2	1	1	1	2	2
none	10830	2	1	1	1	3	1	1	1	1	1	1	1	1	1
none	10833	3	2	2	2	1	1	1	1	1	1	1	1	2	1
none	10835	1	1	1	1	1	1	1	1	1	1	1	1	1	3
none	1084	1	1	1	1	1	1	1	1	1	2	1	2	1	1
none	10842	1	3	1	1	2	1	1	1	1	1	1	1	2	1
none	10843	1	0	1	1	1	1	1	1	1	1	1	1	1	1
none	10845	1	0	1	1	1	1	1	1	1	1	1	1	1	1
none	10847.1	3	3	1	1	2	1	1	2	1	3	2	2	1	2
none	10847.2	3	2	1	1	1	1	1	2	2	2	3	2	2	5
none	10848	1	1	1	1	1	1	1	1	1	1	1	1	2	1
none	1085	1	0	1	2	1	1	1	1	1	1	2	1	1	1
none	10860	3	2	4	4	4	3	3	5	3	2	2	2	6	7
none	10862	1	1	2	2	2	2	2	2	2	1	1	1	1	1
none	10867	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10876	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10881	1	1	1	1	1	1	1	1	1	2	1	1	2	2
none	10882	0	1	0	0	0	0	0	0	0	0	1	1	1	0
none	10883	1	1	1	1	1	1	1	1	1	1	1	1	1	3
none	10884	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	10886	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10887	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10891	2	1	2	3	4	6	4	4	5	1	1	1	1	1
none	10895	1	0	0	0	0	0	0	0	0	0	0	1	1	1
none	10909	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	1091	1	1	1	1	1	1	1	1	1	1	0	1	1	1
none	10910	1	2	1	1	1	1	1	1	1	1	1	1	1	1
none	10911	0	0	0	0	0	0	0	0	1	1	0	1	1	1
none	10912.1	4	1	3	3	4	3	3	2	2	2	2	2	3	4
none	10912.2	1	1	1	1	1	1	1	1	1	0	0	0	1	2
